lambda,KVH C24,BSH GL24,IPE,HEB
20,-1,-1,0.995,0.992
25,-1,-1,0.975,0.965
30,0.998,1.002,0.956,0.937
35,0.972,0.99,0.935,0.910
40,0.941,0.975,0.914,0.881
45,0.9,0.955,0.891,0.852
50,0.849,0.925,0.867,0.821
55,0.785,0.882,0.841,0.79
60,0.715,0.821,0.813,0.758
65,0.644,0.748,0.784,0.725
70,0.577,0.671,0.753,0.691
75,0.516,0.6,0.72,0.658
80,0.463,0.536,0.686,0.624
85,0.417,0.481,0.652,0.591
90,0.376,0.433,0.617,0.558
95,0.341,0.391,0.583,0.527
100,0.310,0.355,0.549,0.497
105,0.283,0.323,0.517,0.468
110,0.260,0.296,0.487,0.441
115,0.239,0.271,0.458,0.416
120,0.221,0.25,0.431,0.392
125,0.204,0.231,0.406,0.370
130,0.189,0.214,0.382,0.349
135,0.176,0.199,0.360,0.330
140,0.164,0.185,0.340,0.312
145,0.154,0.173,0.321,0.296
150,0.144,0.162,0.303,0.28
155,-1,-1,0.287,0.266
160,-1,-1,0.272,0.252
165,-1,-1,0.258,0.24
170,-1,-1,0.245,0.228
175,-1,-1,0.233,0.217
180,-1,-1,0.222,0.207
185,-1,-1,0.211,0.198
190,-1,-1,0.201,0.189
195,-1,-1,0.192,0.18
200,-1,-1,0.184,0.173
205,-1,-1,0.176,0.165
210,-1,-1,0.168,0.158
215,-1,-1,0.161,0.152
220,-1,-1,0.154,0.146
225,-1,-1,0.148,0.14
230,-1,-1,0.142,0.135
235,-1,-1,0.137,0.13
240,-1,-1,0.131,0.125
245,-1,-1,0.127,0.12
250,-1,-1,0.122,0.116